,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,51633,20,hybrid,1000,216,Bangladesh,delta,994107.5640563687,3200.0,990831.807277391,919,30.32467,0.016,2.2,0.0352,1.0,3.4690000000000003
1,51633,20,hybrid,1000,216,Oman,alpha,1007120.8840367224,1360.0,1005903.352099797,492,29.965187,0.016,1.67,0.02672,1.0,7.0169999999999995
2,51633,20,hybrid,1000,216,Mozambique,beta,779207.068297238,948.916100448256,778672.4286413321,564,22.315199,0.016,1.0,0.016,1.0,3.3659999999999997
3,51633,20,hybrid,1000,216,Gambia,delta,1003572.7229349377,1260.0,1002473.6258222732,549,22.193062,0.016,2.2,0.0352,1.0,7.228999999999999
4,51633,20,hybrid,1000,216,Oman,gamma,1016349.5713907189,1600.0,1014778.5119967816,974,30.064419,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
5,51633,20,hybrid,1000,216,Bangladesh,delta,992456.6095623379,2720.0,989513.646626475,139,30.111135,0.016,2.2,0.0352,1.0,3.4690000000000003
6,51633,20,hybrid,1000,216,Bangladesh,alpha,966025.0840169227,2840.0,963516.3590350933,498,30.199598,0.016,1.67,0.02672,1.0,3.4690000000000003
7,51633,20,hybrid,1000,216,Oman,gamma,1015093.133385815,1340.0,1013856.3659608832,204,29.844376,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
8,51633,20,hybrid,1000,216,Bangladesh,delta,991086.7262752882,2560.0,988691.4828557014,687,30.173872,0.016,2.2,0.0352,1.0,3.4690000000000003
9,51633,20,hybrid,1000,216,Oman,delta,1016986.49961874,1500.0000000000002,1015692.7009644266,579,30.152496,0.016,2.2,0.0352,1.0,7.0169999999999995
10,51633,20,hybrid,1000,216,Gambia,alpha,980055.4101996257,1120.0000000000002,978977.8627773399,261,22.193016,0.016,1.67,0.02672,1.0,7.228999999999999
11,51633,20,hybrid,1000,216,Mozambique,beta,783891.7455249396,1140.0,782429.6912219748,759,22.124784,0.016,1.0,0.016,1.0,3.3659999999999997
12,51633,20,hybrid,1000,216,Gambia,alpha,980871.1684706827,1100.0,979672.0577610532,831,22.209415,0.016,1.67,0.02672,1.0,7.228999999999999
13,51633,20,hybrid,1000,216,Mozambique,beta,781709.3721372811,1045.1597803519999,780702.7273122271,267,22.368996,0.016,1.0,0.016,1.0,3.3659999999999997
14,51633,20,hybrid,1000,216,Bangladesh,beta,868988.7888201263,2428.246206220075,866549.3378441965,286,30.030392,0.016,1.0,0.016,1.0,3.4690000000000003
15,51633,20,hybrid,1000,216,Gambia,alpha,982063.9749830975,1020.0,981078.5896055753,463,22.32793,0.016,1.67,0.02672,1.0,7.228999999999999
16,51633,20,hybrid,1000,216,Mozambique,delta,963007.1681648942,1260.0,961767.8436370883,608,22.366396,0.016,2.2,0.0352,1.0,3.3659999999999997
17,51633,20,hybrid,1000,216,Mozambique,beta,782797.2553140182,1026.1917364224,781771.4928325061,944,22.367374,0.016,1.0,0.016,1.0,3.3659999999999997
