,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,0,51633,20,hybrid,1000,216,Bangladesh,delta,994107.5640563688,3200.0,990831.807277391,919,30.32467,0.016,2.2,0.0352,1.0,3.4690000000000003
1,1,51633,20,hybrid,1000,216,Oman,alpha,1007120.8840367224,1360.0,1005903.352099797,492,29.965187,0.016,1.67,0.02672,1.0,7.017
4,4,51633,20,hybrid,1000,216,Oman,gamma,1016349.5713907188,1600.0,1014778.5119967816,974,30.064419,0.016,2.05,0.0327999999999999,1.0,7.017
5,5,51633,20,hybrid,1000,216,Bangladesh,delta,992456.609562338,2720.0,989513.646626475,139,30.111135,0.016,2.2,0.0352,1.0,3.4690000000000003
6,6,51633,20,hybrid,1000,216,Bangladesh,alpha,966025.0840169227,2840.0,963516.3590350932,498,30.199598,0.016,1.67,0.02672,1.0,3.4690000000000003
7,7,51633,20,hybrid,1000,216,Oman,gamma,1015093.133385815,1340.0,1013856.3659608832,204,29.844376,0.016,2.05,0.0327999999999999,1.0,7.017
8,8,51633,20,hybrid,1000,216,Bangladesh,delta,991086.7262752882,2560.0,988691.4828557014,687,30.173872,0.016,2.2,0.0352,1.0,3.4690000000000003
9,9,51633,20,hybrid,1000,216,Oman,delta,1016986.49961874,1500.0000000000002,1015692.7009644266,579,30.152496,0.016,2.2,0.0352,1.0,7.017
14,14,51633,20,hybrid,1000,216,Bangladesh,beta,868988.7888201263,2428.246206220075,866549.3378441965,286,30.030392,0.016,1.0,0.016,1.0,3.4690000000000003
18,18,51633,20,hybrid,1000,216,Bangladesh,delta,994129.0797348982,2620.0,991373.4115802242,706,30.27186,0.016,2.2,0.0352,1.0,3.4690000000000003
20,20,51633,20,hybrid,1000,216,Oman,beta,955994.9535366048,1680.0000000000002,954493.3247246116,971,30.012922,0.016,1.0,0.016,1.0,7.017
24,24,51633,20,hybrid,1000,216,Oman,alpha,1005516.710289204,1120.0,1004233.2757868964,275,30.018465,0.016,1.67,0.02672,1.0,7.017
25,25,51633,20,hybrid,1000,216,Oman,gamma,1014791.2333332646,1400.0,1013451.9536768872,99,30.018532,0.016,2.05,0.0327999999999999,1.0,7.017
31,31,51633,20,hybrid,1000,216,Bangladesh,gamma,986483.0856447872,2780.0000000000005,983989.1977341007,259,30.302933,0.016,2.05,0.0327999999999999,1.0,3.4690000000000003
32,32,51633,20,hybrid,1000,216,Oman,gamma,1013890.2300081644,1460.0,1012478.4024436988,879,29.911905,0.016,2.05,0.0327999999999999,1.0,7.017
36,36,51633,20,hybrid,1000,216,Bangladesh,delta,993986.5341557964,2420.0,991793.038285766,765,30.144554,0.016,2.2,0.0352,1.0,3.4690000000000003
37,37,51633,20,hybrid,1000,216,Oman,gamma,1015163.8222397123,1320.0,1014001.4033184302,570,30.026512,0.016,2.05,0.0327999999999999,1.0,7.017
38,38,51633,20,hybrid,1000,216,Bangladesh,delta,993417.5251715204,2660.0,990865.3205433429,88,30.236462,0.016,2.2,0.0352,1.0,3.4690000000000003
39,39,51633,20,hybrid,1000,216,Oman,gamma,1015815.9764374552,1280.0,1014647.3322806886,948,30.022448,0.016,2.05,0.0327999999999999,1.0,7.017
40,40,51633,20,hybrid,1000,216,Oman,gamma,1015508.601173291,1580.0,1014042.7868757877,800,30.030083,0.016,2.05,0.0327999999999999,1.0,7.017
43,43,51633,20,hybrid,1000,216,Oman,gamma,1014479.0303803216,1200.0,1013196.1732776314,896,29.922676,0.016,2.05,0.0327999999999999,1.0,7.017
45,45,51633,20,hybrid,1000,216,Oman,alpha,1004723.9503506904,1780.0,1002764.3235084532,589,29.92024,0.016,1.67,0.02672,1.0,7.017
48,48,51633,20,hybrid,1000,216,Oman,gamma,1014990.9396993088,1460.0,1013584.1718550964,309,29.79304,0.016,2.05,0.0327999999999999,1.0,7.017
51,51,51633,20,hybrid,1000,216,Oman,gamma,1015405.8994727228,1480.0,1014066.0212158872,562,29.905535,0.016,2.05,0.0327999999999999,1.0,7.017
53,53,51633,20,hybrid,1000,216,Bangladesh,delta,994098.2362721284,2300.0,991688.31818532,370,30.061918,0.016,2.2,0.0352,1.0,3.4690000000000003
55,55,51633,20,hybrid,1000,216,Oman,gamma,1014647.8752996644,1140.0,1013398.3666049062,759,29.864452,0.016,2.05,0.0327999999999999,1.0,7.017
56,56,51633,20,hybrid,1000,216,Bangladesh,delta,995239.124662546,2360.0,992968.4486479934,634,30.167185,0.016,2.2,0.0352,1.0,3.4690000000000003
58,58,51633,20,hybrid,1000,216,Oman,gamma,1015441.5638500968,1680.0,1013797.3920381592,67,30.067505,0.016,2.05,0.0327999999999999,1.0,7.017
59,59,51633,20,hybrid,1000,216,Bangladesh,gamma,985932.3606603878,2840.0000000000005,983168.2768029348,409,30.141806,0.016,2.05,0.0327999999999999,1.0,3.4690000000000003
65,65,51633,20,hybrid,1000,216,Oman,gamma,1015203.939137928,1560.0000000000002,1013748.269185419,807,29.902412,0.016,2.05,0.0327999999999999,1.0,7.017
66,66,51633,20,hybrid,1000,216,Oman,gamma,1015338.364867538,1520.0,1013967.0208018764,886,29.940588,0.016,2.05,0.0327999999999999,1.0,7.017
70,70,51633,20,hybrid,1000,216,Oman,beta,956250.8037106202,1560.0,954816.9346426527,70,29.962454,0.016,1.0,0.016,1.0,7.017
72,72,51633,20,hybrid,1000,216,Oman,gamma,1015150.3765965148,1220.0,1013964.9742945456,628,30.011114,0.016,2.05,0.0327999999999999,1.0,7.017
74,74,51633,20,hybrid,1000,216,Bangladesh,delta,991962.4267197468,2600.0,989524.7682272925,741,30.164558,0.016,2.2,0.0352,1.0,3.4690000000000003
75,75,51633,20,hybrid,1000,216,Bangladesh,beta,869863.9212775781,2340.0,867772.2852141643,661,30.143106,0.016,1.0,0.016,1.0,3.4690000000000003
82,82,51633,20,hybrid,1000,216,Oman,gamma,1014739.7331388252,1340.0,1013437.6019549116,337,29.920746,0.016,2.05,0.0327999999999999,1.0,7.017
83,83,51633,20,hybrid,1000,216,Oman,beta,957652.6207109366,1240.0,956390.1244732726,290,29.980425,0.016,1.0,0.016,1.0,7.017
87,87,51633,20,hybrid,1000,216,Bangladesh,delta,993330.7536502857,2640.0,990726.0507330378,441,30.299492,0.016,2.2,0.0352,1.0,3.4690000000000003
91,91,51633,20,hybrid,1000,216,Oman,gamma,1015036.3401369528,1480.0,1013533.0619346984,37,29.832994,0.016,2.05,0.0327999999999999,1.0,7.017
94,94,51633,20,hybrid,1000,216,Bangladesh,delta,994398.1925872554,2580.0,991718.341350054,327,30.126951,0.016,2.2,0.0352,1.0,3.4690000000000003
98,98,51633,20,hybrid,1000,216,Oman,delta,1016385.2611667296,1340.0,1015149.0180508686,523,29.95864,0.016,2.2,0.0352,1.0,7.017
99,99,51633,20,hybrid,1000,216,Oman,beta,959138.5549004358,1560.0,957369.7342619188,141,29.962444,0.016,1.0,0.016,1.0,7.017
103,103,51633,20,hybrid,1000,216,Bangladesh,delta,993389.9103347348,2760.0,990670.4977938804,326,30.18232,0.016,2.2,0.0352,1.0,3.4690000000000003
107,107,51633,20,hybrid,1000,216,Bangladesh,delta,993920.1441542894,2920.0,991052.6709405992,69,30.183342,0.016,2.2,0.0352,1.0,3.4690000000000003
111,111,51633,20,hybrid,1000,216,Oman,gamma,1015830.9046371866,1240.0,1014586.810427744,874,29.91687,0.016,2.05,0.0327999999999999,1.0,7.017
117,117,51633,20,hybrid,1000,216,Bangladesh,delta,992339.354547869,2500.0,989938.6514898828,913,30.143309,0.016,2.2,0.0352,1.0,3.4690000000000003
118,118,51633,20,hybrid,1000,216,Bangladesh,delta,991619.3713336262,3020.0,988704.667005124,332,30.210821,0.016,2.2,0.0352,1.0,3.4690000000000003
119,119,51633,20,hybrid,1000,216,Oman,gamma,1014182.8236843052,1120.0,1013062.4166307544,340,29.94856,0.016,2.05,0.0327999999999999,1.0,7.017
124,124,51633,20,hybrid,1000,216,Bangladesh,delta,997346.5695677856,2800.0,994338.9983898172,886,30.129202,0.016,2.2,0.0352,1.0,3.4690000000000003
125,125,51633,20,hybrid,1000,216,Oman,gamma,1013992.8300663544,1400.0,1012786.3945894064,432,29.921457,0.016,2.05,0.0327999999999999,1.0,7.017
126,126,51633,20,hybrid,1000,216,Oman,beta,957641.5067970108,1260.0,956255.0032532242,544,29.97667,0.016,1.0,0.016,1.0,7.017
128,128,51633,20,hybrid,1000,216,Oman,gamma,1015690.7574937738,1180.0,1014762.1653606328,820,29.851744,0.016,2.05,0.0327999999999999,1.0,7.017
129,129,51633,20,hybrid,1000,216,Bangladesh,delta,991841.4482020198,2360.0,989727.2684035423,241,30.12805,0.016,2.2,0.0352,1.0,3.4690000000000003
133,133,51633,20,hybrid,1000,216,Bangladesh,gamma,987165.5715463628,2260.0,985006.6307799784,52,30.175882,0.016,2.05,0.0327999999999999,1.0,3.4690000000000003
134,134,51633,20,hybrid,1000,216,Bangladesh,delta,992973.7858921568,2680.0,990118.4565789122,400,30.12569,0.016,2.2,0.0352,1.0,3.4690000000000003
135,135,51633,20,hybrid,1000,216,Oman,alpha,1006115.7848021886,1600.0,1004225.4486045135,525,29.900347,0.016,1.67,0.02672,1.0,7.017
136,136,51633,20,hybrid,1000,216,Bangladesh,delta,992673.9466341572,2700.0,990192.666694676,29,30.2712,0.016,2.2,0.0352,1.0,3.4690000000000003
143,143,51633,20,hybrid,1000,216,Bangladesh,beta,872623.8280394115,2580.0,870084.765669922,41,30.19379,0.016,1.0,0.016,1.0,3.4690000000000003
144,144,51633,20,hybrid,1000,216,Bangladesh,alpha,966216.9162189326,2540.0,964080.2378570382,73,30.040539,0.016,1.67,0.02672,1.0,3.4690000000000003
148,148,51633,20,hybrid,1000,216,Oman,beta,955796.4285088594,1260.0,954347.4219387518,924,29.841797,0.016,1.0,0.016,1.0,7.017
150,150,51633,20,hybrid,1000,216,Bangladesh,delta,992836.5111072564,2980.0,990150.70724462,63,30.19065,0.016,2.2,0.0352,1.0,3.4690000000000003
152,152,51633,20,hybrid,1000,216,Oman,gamma,1014696.324249137,1280.0,1013306.25998429,150,30.0066,0.016,2.05,0.0327999999999999,1.0,7.017
153,153,51633,20,hybrid,1000,216,Bangladesh,gamma,984975.6743956924,2480.0,982697.7200291972,769,30.087936,0.016,2.05,0.0327999999999999,1.0,3.4690000000000003
154,154,51633,20,hybrid,1000,216,Bangladesh,delta,993213.2499691902,2640.0,990696.2475580892,458,30.04341,0.016,2.2,0.0352,1.0,3.4690000000000003
157,157,51633,20,hybrid,1000,216,Bangladesh,delta,993305.4160250602,2660.0,990903.6509263648,399,30.136421,0.016,2.2,0.0352,1.0,3.4690000000000003
158,158,51633,20,hybrid,1000,216,Oman,gamma,1016088.830420656,1240.0,1014830.5310724904,281,30.008226,0.016,2.05,0.0327999999999999,1.0,7.017
160,160,51633,20,hybrid,1000,216,Oman,gamma,1015838.2056120248,1460.0,1014313.3266686816,779,29.957102,0.016,2.05,0.0327999999999999,1.0,7.017
162,162,51633,20,hybrid,1000,216,Bangladesh,delta,994493.4362504256,2540.0,991854.194048733,735,30.229778,0.016,2.2,0.0352,1.0,3.4690000000000003
163,163,51633,20,hybrid,1000,216,Bangladesh,delta,992370.4905513836,2660.0,989660.5530688954,110,30.006105,0.016,2.2,0.0352,1.0,3.4690000000000003
165,165,51633,20,hybrid,1000,216,Oman,gamma,1016713.4922880174,1360.0,1015347.2635825349,408,30.036118,0.016,2.05,0.0327999999999999,1.0,7.017
174,174,51633,20,hybrid,1000,216,Oman,gamma,1013971.7377182984,1620.0,1012266.7566210208,572,29.86959,0.016,2.05,0.0327999999999999,1.0,7.017
176,176,51633,20,hybrid,1000,216,Bangladesh,delta,995239.3838452508,2600.0,992560.9181944908,660,30.179281,0.016,2.2,0.0352,1.0,3.4690000000000003
179,179,51633,20,hybrid,1000,216,Bangladesh,delta,992152.7389106333,3120.0,988927.8681380012,828,30.107191,0.016,2.2,0.0352,1.0,3.4690000000000003
181,181,51633,20,hybrid,1000,216,Oman,gamma,1015407.0094703382,1220.0,1014270.3262950076,743,30.103672,0.016,2.05,0.0327999999999999,1.0,7.017
183,183,51633,20,hybrid,1000,216,Bangladesh,delta,994081.341197164,2744.7259950209377,991350.7455866836,494,30.250721,0.016,2.2,0.0352,1.0,3.4690000000000003
184,184,51633,20,hybrid,1000,216,Oman,gamma,1015824.4246099382,1280.0,1014298.8212624072,365,29.964045,0.016,2.05,0.0327999999999999,1.0,7.017
186,186,51633,20,hybrid,1000,216,Oman,beta,956880.4587613494,1440.0,955831.3444437264,737,30.09355,0.016,1.0,0.016,1.0,7.017
189,189,51633,20,hybrid,1000,216,Oman,gamma,1014684.1203145364,1180.0000000000002,1013615.630828284,68,29.981731,0.016,2.05,0.0327999999999999,1.0,7.017
192,192,51633,20,hybrid,1000,216,Oman,gamma,1015256.0970045584,1320.0,1014012.1143813828,848,30.072636,0.016,2.05,0.0327999999999999,1.0,7.017
193,193,51633,20,hybrid,1000,216,Oman,gamma,1014973.9239896382,1520.0,1013434.822757496,746,29.975996,0.016,2.05,0.0327999999999999,1.0,7.017
194,194,51633,20,hybrid,1000,216,Oman,gamma,1015046.3487690596,1960.0,1013250.752217674,634,29.985315,0.016,2.05,0.0327999999999999,1.0,7.017
196,196,51633,20,hybrid,1000,216,Oman,gamma,1015690.7574937738,1180.0,1014762.1653606328,820,29.851744,0.016,2.05,0.0327999999999999,1.0,7.017
197,197,51633,20,hybrid,1000,216,Oman,gamma,1013871.8741923836,1420.0,1012761.526217634,358,29.908482,0.016,2.05,0.0327999999999999,1.0,7.017
201,201,51633,20,hybrid,1000,216,Oman,delta,1016437.7912989564,1340.0,1015065.9444889664,1,29.920443,0.016,2.2,0.0352,1.0,7.017
202,202,51633,20,hybrid,1000,216,Oman,gamma,1016572.6866423856,1440.0,1015073.537700551,189,30.024582,0.016,2.05,0.0327999999999999,1.0,7.017
205,205,51633,20,hybrid,1000,216,Bangladesh,delta,994258.5575643816,2700.0,991561.197121302,414,30.252157,0.016,2.2,0.0352,1.0,3.4690000000000003
206,206,51633,20,hybrid,1000,216,Bangladesh,alpha,969195.842060619,2740.0,966576.1207167808,864,30.273996,0.016,1.67,0.02672,1.0,3.4690000000000003
210,210,51633,20,hybrid,1000,216,Bangladesh,beta,864565.9906711006,2460.0,862186.8473147564,332,30.210821,0.016,1.0,0.016,1.0,3.4690000000000003
211,211,51633,20,hybrid,1000,216,Oman,beta,958057.9273504956,1460.0,956565.96427446,563,30.089664,0.016,1.0,0.016,1.0,7.017
213,213,51633,20,hybrid,1000,216,Bangladesh,delta,993015.9913397054,2940.0,990167.3706944556,641,29.88759,0.016,2.2,0.0352,1.0,3.4690000000000003
214,214,51633,20,hybrid,1000,216,Bangladesh,delta,994022.2164464355,2760.0,991318.1496731492,299,30.17266,0.016,2.2,0.0352,1.0,3.4690000000000003
218,218,51633,20,hybrid,1000,216,Bangladesh,beta,873272.5061530708,2492.839184645489,871004.8595640273,579,30.39109,0.016,1.0,0.016,1.0,3.4690000000000003
219,219,51633,20,hybrid,1000,216,Bangladesh,beta,874539.0031407818,2244.29981696,872235.2402979364,829,30.147953,0.016,1.0,0.016,1.0,3.4690000000000003
221,221,51633,20,hybrid,1000,216,Bangladesh,delta,993784.7210653152,2880.0,990808.9240654936,425,30.215233,0.016,2.2,0.0352,1.0,3.4690000000000003
223,223,51633,20,hybrid,1000,216,Oman,beta,958557.4150774296,1200.0,957303.6194557224,612,30.0779,0.016,1.0,0.016,1.0,7.017
225,225,51633,20,hybrid,1000,216,Bangladesh,delta,992478.7781643555,2400.0,990149.74961129,113,29.974783,0.016,2.2,0.0352,1.0,3.4690000000000003
227,227,51633,20,hybrid,1000,216,Bangladesh,delta,993811.2119497488,2880.0,991063.61788412,565,30.298512,0.016,2.2,0.0352,1.0,3.4690000000000003
228,228,51633,20,hybrid,1000,216,Bangladesh,delta,992618.7530092268,2560.0,990022.8631311546,225,30.204962,0.016,2.2,0.0352,1.0,3.4690000000000003
230,230,51633,20,hybrid,1000,216,Oman,gamma,1014453.7469566131,1280.0,1013278.5829536432,339,29.79801,0.016,2.05,0.0327999999999999,1.0,7.017
232,232,51633,20,hybrid,1000,216,Bangladesh,beta,870444.3928003978,2668.916100448256,867661.5673111945,121,30.10914,0.016,1.0,0.016,1.0,3.4690000000000003
233,233,51633,20,hybrid,1000,216,Oman,gamma,1014414.0479018536,1480.0,1013034.4606406444,922,29.78912,0.016,2.05,0.0327999999999999,1.0,7.017
235,235,51633,20,hybrid,1000,216,Bangladesh,delta,992865.0414927802,2740.0,990100.1703906008,812,30.000267,0.016,2.2,0.0352,1.0,3.4690000000000003
236,236,51633,20,hybrid,1000,216,Oman,gamma,1014704.1851722954,1100.0,1013742.8423937976,943,29.938591,0.016,2.05,0.0327999999999999,1.0,7.017
240,240,51633,20,hybrid,1000,216,Oman,gamma,1013787.6204676467,1520.0,1012231.3486042604,530,30.013973,0.016,2.05,0.0327999999999999,1.0,7.017
