,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
2,5,5,51633,20,hybrid,1000,216,Gambia,alpha,977660.2382758196,960.0,976746.6050870056,363,22.050957,0.016,1.67,0.02672,1.0,7.228999999999999
4,10,10,51633,20,hybrid,1000,216,Gambia,gamma,996053.1462494568,1040.0,995105.450167811,355,22.139406,0.016,2.0,0.032,1.0,7.228999999999999
10,23,23,51633,20,hybrid,1000,216,Gambia,alpha,982764.1209308148,974.7731580847956,981842.3613344848,999,22.394665,0.016,1.67,0.02672,1.0,7.228999999999999
14,32,32,51633,20,hybrid,1000,216,Gambia,alpha,981752.8461913116,1180.0,980519.446357878,604,22.15804,0.016,1.67,0.02672,1.0,7.228999999999999
15,38,38,51633,20,hybrid,1000,216,Gambia,alpha,981039.92997599,780.0,980090.7902095446,148,22.266588,0.016,1.67,0.02672,1.0,7.228999999999999
16,41,41,51633,20,hybrid,1000,216,Gambia,alpha,982027.5605915324,1160.0,980919.2104321212,507,22.175262,0.016,1.67,0.02672,1.0,7.228999999999999
17,42,42,51633,20,hybrid,1000,216,Gambia,gamma,996106.0374292744,1120.0,995157.3635200316,489,22.224852,0.016,2.0,0.032,1.0,7.228999999999999
19,44,44,51633,20,hybrid,1000,216,Gambia,gamma,998305.7719551472,960.0,997434.024210568,959,22.20395,0.016,2.0,0.032,1.0,7.228999999999999
20,45,45,51633,20,hybrid,1000,216,Gambia,alpha,980344.8685103994,1040.0,979438.7976839849,537,22.270525,0.016,1.67,0.02672,1.0,7.228999999999999
23,54,54,51633,20,hybrid,1000,216,Gambia,beta,900511.6434510375,980.0,899616.2302506428,899,22.184156,0.016,1.0,0.016,1.0,7.228999999999999
24,56,56,51633,20,hybrid,1000,216,Gambia,delta,1004228.250100514,1280.0,1002964.006901552,511,22.427032,0.016,2.2,0.0352,1.0,7.228999999999999
27,59,59,51633,20,hybrid,1000,216,Gambia,alpha,980180.897398355,1067.1777092703796,978938.4425333694,923,22.21356,0.016,1.67,0.02672,1.0,7.228999999999999
32,72,72,51633,20,hybrid,1000,216,Gambia,alpha,985074.8133810256,1220.0,984055.8996027872,32,22.155506,0.016,1.67,0.02672,1.0,7.228999999999999
35,76,76,51633,20,hybrid,1000,216,Gambia,alpha,979272.7500214828,1260.0000000000002,977919.805249078,785,22.12831,0.016,1.67,0.02672,1.0,7.228999999999999
41,85,85,51633,20,hybrid,1000,216,Gambia,alpha,981063.270031008,1120.0,979990.8270521624,605,22.086931,0.016,1.67,0.02672,1.0,7.228999999999999
