,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,2,2,51633,20,hybrid,1000,216,Mozambique,delta,961079.1780747405,1360.0,959637.4021755996,3,22.425438,0.016,2.2,0.0352,1.0,3.366
1,4,4,51633,20,hybrid,1000,216,Mozambique,beta,783435.4135185074,1280.0,782354.3848372288,376,22.323826,0.016,1.0,0.016,1.0,3.366
3,6,6,51633,20,hybrid,1000,216,Mozambique,beta,779139.2890215511,967.43008370688,778211.2506737356,49,22.326735,0.016,1.0,0.016,1.0,3.366
5,13,13,51633,20,hybrid,1000,216,Mozambique,beta,788113.1565801615,1060.0,786950.5555439009,813,22.268883,0.016,1.0,0.016,1.0,3.366
6,17,17,51633,20,hybrid,1000,216,Mozambique,beta,784142.0083190915,1320.0,782751.743819774,863,22.246605,0.016,1.0,0.016,1.0,3.366
7,19,19,51633,20,hybrid,1000,216,Mozambique,beta,774040.1920911686,1240.0,773088.5496451894,400,22.243935,0.016,1.0,0.016,1.0,3.366
8,20,20,51633,20,hybrid,1000,216,Mozambique,alpha,917589.8629876444,920.0,916815.6820895718,512,22.256773,0.016,1.67,0.02672,1.0,3.366
9,22,22,51633,20,hybrid,1000,216,Mozambique,beta,780456.4269016775,1000.0,779640.0667611035,91,22.152843,0.016,1.0,0.016,1.0,3.366
11,24,24,51633,20,hybrid,1000,216,Mozambique,beta,783511.3976233378,1038.4884258895036,782529.1702949641,16,22.304613,0.016,1.0,0.016,1.0,3.366
12,25,25,51633,20,hybrid,1000,216,Mozambique,delta,962651.229773532,1420.0,960927.0955639656,705,22.40041,0.016,2.2,0.0352,1.0,3.366
13,27,27,51633,20,hybrid,1000,216,Mozambique,beta,782557.5932509277,1120.0,781070.0267817392,1000,22.333252,0.016,1.0,0.016,1.0,3.366
18,43,43,51633,20,hybrid,1000,216,Mozambique,beta,791616.559930956,1038.4884258895036,790213.6851619453,903,22.298878,0.016,1.0,0.016,1.0,3.366
21,47,47,51633,20,hybrid,1000,216,Mozambique,delta,958732.9703367188,1300.0,957472.5139936795,463,22.40553,0.016,2.2,0.0352,1.0,3.366
22,48,48,51633,20,hybrid,1000,216,Mozambique,gamma,945829.1084092614,1260.0,944466.9517117086,489,22.317305,0.016,2.0,0.032,1.0,3.366
25,57,57,51633,20,hybrid,1000,216,Mozambique,beta,786298.3935081516,1100.0,785444.9936645785,888,22.177902,0.016,1.0,0.016,1.0,3.366
26,58,58,51633,20,hybrid,1000,216,Mozambique,beta,778753.1701852262,880.0,777850.4643922024,482,22.306185,0.016,1.0,0.016,1.0,3.366
28,61,61,51633,20,hybrid,1000,216,Mozambique,alpha,917904.3781244964,1320.0,916875.6772522886,342,22.264856,0.016,1.67,0.02672,1.0,3.366
29,64,64,51633,20,hybrid,1000,216,Mozambique,delta,960149.10716824,1360.0,958749.4217671892,356,22.195488,0.016,2.2,0.0352,1.0,3.366
30,67,67,51633,20,hybrid,1000,216,Mozambique,delta,959159.9853088404,1140.0,958403.351545686,23,22.215963,0.016,2.2,0.0352,1.0,3.366
