,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,0,51633,20,hybrid,1000,216,Oman,gamma,1013685.7540476862,1360.0,1012463.155107042,737,30.09355,0.016,2.0,0.032,1.0,7.017
1,1,51633,20,hybrid,1000,216,Bangladesh,delta,992985.2259878656,3000.0,990031.8659137598,897,30.220367,0.016,2.2,0.0352,1.0,3.4690000000000003
3,3,51633,20,hybrid,1000,216,Oman,gamma,1014533.761778948,1440.0,1013302.965321568,695,29.87296,0.016,2.0,0.032,1.0,7.017
7,7,51633,20,hybrid,1000,216,Bangladesh,delta,993234.1094878594,2980.0,990053.5335324906,271,30.13845,0.016,2.2,0.0352,1.0,3.4690000000000003
8,8,51633,20,hybrid,1000,216,Bangladesh,delta,993316.4935300802,3020.0,990428.2117702328,967,30.18971,0.016,2.2,0.0352,1.0,3.4690000000000003
9,9,51633,20,hybrid,1000,216,Oman,gamma,1013846.101557066,1560.0,1012208.6176755852,577,29.885288,0.016,2.0,0.032,1.0,7.017
11,11,51633,20,hybrid,1000,216,Oman,gamma,1013953.182229558,1540.0,1012246.7761048904,815,29.99112,0.016,2.0,0.032,1.0,7.017
12,12,51633,20,hybrid,1000,216,Bangladesh,delta,992471.2628319731,2820.0,989663.986027762,972,30.126715,0.016,2.2,0.0352,1.0,3.4690000000000003
14,14,51633,20,hybrid,1000,216,Oman,gamma,1013523.5268458304,1400.0,1012012.4413043445,934,29.874065,0.016,2.0,0.032,1.0,7.017
15,15,51633,20,hybrid,1000,216,Bangladesh,delta,993233.0573192836,2640.0,990407.636022981,406,30.114086,0.016,2.2,0.0352,1.0,3.4690000000000003
16,16,51633,20,hybrid,1000,216,Bangladesh,beta,875782.6228609941,2378.488425889504,874143.1190435451,328,30.130114,0.016,1.0,0.016,1.0,3.4690000000000003
18,18,51633,20,hybrid,1000,216,Oman,gamma,1014550.129301887,1540.0,1013001.4866564794,887,29.9755,0.016,2.0,0.032,1.0,7.017
21,21,51633,20,hybrid,1000,216,Bangladesh,delta,992264.6248224624,3120.0,989193.1066120917,353,30.287306,0.016,2.2,0.0352,1.0,3.4690000000000003
26,26,51633,20,hybrid,1000,216,Bangladesh,delta,992298.5174118616,2860.0,989309.102671185,143,30.14267,0.016,2.2,0.0352,1.0,3.4690000000000003
28,28,51633,20,hybrid,1000,216,Oman,gamma,1014409.3174721156,1560.0,1013012.7937029948,795,29.991665,0.016,2.0,0.032,1.0,7.017
29,29,51633,20,hybrid,1000,216,Bangladesh,delta,994834.6557530226,2760.0,992419.8550447632,809,30.184792,0.016,2.2,0.0352,1.0,3.4690000000000003
30,30,51633,20,hybrid,1000,216,Oman,gamma,1014201.4095536426,1320.0,1012871.5105593256,127,30.017315,0.016,2.0,0.032,1.0,7.017
31,31,51633,20,hybrid,1000,216,Bangladesh,delta,991416.8053103524,2740.0,988681.7165129692,125,30.204094,0.016,2.2,0.0352,1.0,3.4690000000000003
33,33,51633,20,hybrid,1000,216,Bangladesh,delta,992775.3253797764,2519.889338934905,990437.7529497384,978,30.221193,0.016,2.2,0.0352,1.0,3.4690000000000003
34,34,51633,20,hybrid,1000,216,Bangladesh,delta,992370.9366157989,2540.0,989925.9749971929,719,30.170628,0.016,2.2,0.0352,1.0,3.4690000000000003
35,35,51633,20,hybrid,1000,216,Oman,gamma,1014120.1686367352,1540.0,1012621.8291631184,145,29.947073,0.016,2.0,0.032,1.0,7.017
36,36,51633,20,hybrid,1000,216,Oman,gamma,1014529.5563257914,1540.0,1012984.6607646048,353,30.07502,0.016,2.0,0.032,1.0,7.017
37,37,51633,20,hybrid,1000,216,Bangladesh,delta,992699.168632427,2810.3426315902666,989769.416319186,317,30.15227,0.016,2.2,0.0352,1.0,3.4690000000000003
39,39,51633,20,hybrid,1000,216,Bangladesh,delta,993001.6316672496,2840.0,990062.4363368718,294,30.187414,0.016,2.2,0.0352,1.0,3.4690000000000003
40,40,51633,20,hybrid,1000,216,Bangladesh,beta,868111.4384566289,2384.29981696,866151.8736030372,232,29.974766,0.016,1.0,0.016,1.0,3.4690000000000003
46,46,51633,20,hybrid,1000,216,Oman,gamma,1013966.1897395162,1560.0,1012349.9224156742,197,29.902548,0.016,2.0,0.032,1.0,7.017
49,49,51633,20,hybrid,1000,216,Bangladesh,delta,992881.2167081402,2240.0,990653.3326947284,566,30.103807,0.016,2.2,0.0352,1.0,3.4690000000000003
50,50,51633,20,hybrid,1000,216,Oman,beta,958570.3177970268,1140.0,957749.3238319176,492,29.965187,0.016,1.0,0.016,1.0,7.017
51,51,51633,20,hybrid,1000,216,Oman,alpha,1005157.9936266968,1260.0,1003828.417450057,639,29.956188,0.016,1.67,0.02672,1.0,7.017
52,52,51633,20,hybrid,1000,216,Bangladesh,delta,991706.0908377912,2800.0,989006.4351068712,969,30.169594,0.016,2.2,0.0352,1.0,3.4690000000000003
53,53,51633,20,hybrid,1000,216,Oman,gamma,1014070.2448362232,1400.0,1012458.2685860684,832,30.034477,0.016,2.0,0.032,1.0,7.017
55,55,51633,20,hybrid,1000,216,Bangladesh,delta,992514.176501464,2620.0,989874.5907695777,555,30.199455,0.016,2.2,0.0352,1.0,3.4690000000000003
60,60,51633,20,hybrid,1000,216,Bangladesh,delta,992742.784379639,2480.0,990228.6713234276,436,30.144512,0.016,2.2,0.0352,1.0,3.4690000000000003
