,pop_size,pop_infected,n_days,location,variants,rand_seed,cum_infections,cum_deaths,cum_recoveries,avg_age,wild_beta,rel_beta,beta
0,10000,100,200,India,delta,532,7955.0,24.0,7931.0,31.148237,0.016,2.2,0.0352
1,10000,100,200,India,gamma,18,8010.0,23.0,7984.0,31.068644,0.016,2.05,0.032799999999999996
2,10000,100,200,United Kingdom,alpha,252,8531.0,104.0,8427.0,40.928905,0.016,1.67,0.02672
3,10000,100,200,United Kingdom,alpha,850,8526.0,109.0,8417.0,41.831776,0.016,1.67,0.02672
4,10000,100,200,India,gamma,977,7721.0,32.0,7689.0,31.137257,0.016,2.05,0.032799999999999996
5,10000,100,200,Brazil,gamma,153,9085.0,52.0,9033.0,34.887257,0.016,2.05,0.032799999999999996
6,10000,100,200,South Africa,beta,275,7869.0,23.0,7846.0,29.85239,0.016,1.0,0.016
7,10000,100,200,India,beta,588,7929.0,28.0,7901.0,30.915663,0.016,1.0,0.016
8,10000,100,200,South Africa,beta,762,7838.0,17.0,7821.0,29.4854,0.016,1.0,0.016
9,10000,100,200,India,delta,528,9051.0,54.0,8997.0,30.825422,0.016,2.2,0.0352
10,10000,100,200,India,delta,305,8010.0,35.0,7975.0,31.130095,0.016,2.2,0.0352
11,10000,100,200,United Kingdom,alpha,182,8688.0,86.0,8602.0,41.379642,0.016,1.67,0.02672
12,10000,100,200,South Africa,beta,574,7892.0,10.0,7882.0,30.007126,0.016,1.0,0.016
13,10000,100,200,India,delta,505,8108.0,39.0,8069.0,31.055872,0.016,2.2,0.0352
14,10000,100,200,South Africa,delta,310,8823.0,36.0,8787.0,29.588406,0.016,2.2,0.0352
15,10000,100,200,South Africa,beta,196,7885.0,28.0,7857.0,29.985079,0.016,1.0,0.016
16,10000,100,200,India,delta,221,7937.0,35.0,7902.0,31.4974,0.016,2.2,0.0352
17,10000,100,200,United Kingdom,alpha,121,8740.0,101.0,8639.0,41.583233,0.016,1.67,0.02672
18,10000,100,200,Brazil,gamma,476,8319.0,50.0,8269.0,35.46246,0.016,2.05,0.032799999999999996
19,10000,100,200,Brazil,gamma,946,8662.0,47.0,8615.0,35.285675,0.016,2.05,0.032799999999999996
20,10000,100,200,India,delta,434,9023.0,40.0,8983.0,30.882626,0.016,2.2,0.0352
21,10000,100,200,United Kingdom,alpha,715,8876.0,92.0,8784.0,41.513992,0.016,1.67,0.02672
22,10000,100,200,India,delta,30,8193.0,38.0,8155.0,31.472305,0.016,2.2,0.0352
23,10000,100,200,South Africa,beta,72,7851.0,18.0,7833.0,30.202978,0.016,1.0,0.016
24,10000,100,200,South Africa,beta,926,7949.0,25.0,7924.0,30.187721,0.016,1.0,0.016
25,10000,100,200,Brazil,beta,36,8345.0,36.0,8309.0,35.27376,0.016,1.0,0.016
26,10000,100,200,South Africa,beta,656,7870.0,18.0,7852.0,29.974468,0.016,1.0,0.016
27,10000,100,200,Brazil,gamma,800,8246.0,51.0,8195.0,35.036278,0.016,2.05,0.032799999999999996
28,10000,100,200,United Kingdom,alpha,324,8553.0,101.0,8452.0,41.31224,0.016,1.67,0.02672
29,10000,100,200,South Africa,beta,737,7745.0,18.0,7727.0,29.421291,0.016,1.0,0.016
30,10000,100,200,India,delta,16,7973.0,26.0,7947.0,31.210918,0.016,2.2,0.0352
31,10000,100,200,India,alpha,233,8139.0,20.0,8119.0,30.789257,0.016,1.67,0.02672
32,10000,100,200,Brazil,gamma,130,8644.0,48.0,8596.0,34.83192,0.016,2.05,0.032799999999999996
33,10000,100,200,Brazil,gamma,41,8232.0,50.0,8182.0,34.756454,0.016,2.05,0.032799999999999996
34,10000,100,200,South Africa,beta,663,7828.0,16.0,7812.0,29.934956,0.016,1.0,0.016
35,10000,100,200,Brazil,gamma,938,8378.0,40.0,8338.0,35.30912,0.016,2.05,0.032799999999999996
36,10000,100,200,India,beta,948,7946.0,28.0,7918.0,30.936605,0.016,1.0,0.016
37,10000,100,200,United Kingdom,alpha,319,8477.0,77.0,8400.0,41.2748,0.016,1.67,0.02672
38,10000,100,200,South Africa,beta,321,7663.0,14.0,7649.0,29.399618,0.016,1.0,0.016
39,10000,100,200,United Kingdom,beta,636,8547.0,98.0,8449.0,41.39232,0.016,1.0,0.016
40,10000,100,200,South Africa,beta,904,7929.0,32.0,7897.0,29.7578,0.016,1.0,0.016
41,10000,100,200,United Kingdom,beta,640,8565.0,91.0,8474.0,41.0579,0.016,1.0,0.016
42,10000,100,200,United Kingdom,gamma,548,8505.0,96.0,8409.0,41.259617,0.016,2.05,0.032799999999999996
43,10000,100,200,Brazil,delta,533,8283.0,46.0,8237.0,34.64633,0.016,2.2,0.0352
44,10000,100,200,India,delta,135,8989.0,26.0,8963.0,31.083712,0.016,2.2,0.0352
45,10000,100,200,Brazil,gamma,721,9151.0,66.0,9085.0,34.85236,0.016,2.05,0.032799999999999996
46,10000,100,200,Brazil,gamma,32,8424.0,49.0,8375.0,35.45761,0.016,2.05,0.032799999999999996
47,10000,100,200,United Kingdom,alpha,540,8637.0,85.0,8552.0,41.496174,0.016,1.67,0.02672
48,10000,100,200,India,delta,217,8294.0,30.0,8264.0,31.304916,0.016,2.2,0.0352
49,10000,100,200,Brazil,gamma,69,8489.0,50.0,8439.0,35.055874,0.016,2.05,0.032799999999999996
50,10000,100,200,Brazil,alpha,743,8211.0,30.0,8181.0,35.31094,0.016,1.67,0.02672
51,10000,100,200,United Kingdom,delta,779,8531.0,85.0,8446.0,41.024536,0.016,2.2,0.0352
52,10000,100,200,South Africa,beta,713,7897.0,20.0,7877.0,29.889372,0.016,1.0,0.016
53,10000,100,200,South Africa,beta,868,7912.0,20.0,7892.0,30.0424,0.016,1.0,0.016
54,10000,100,200,Brazil,gamma,824,8281.0,42.0,8239.0,35.430317,0.016,2.05,0.032799999999999996
55,10000,100,200,United Kingdom,alpha,679,8505.0,89.0,8416.0,41.15885,0.016,1.67,0.02672
56,10000,100,200,India,delta,504,7913.0,21.0,7892.0,31.239021,0.016,2.2,0.0352
57,10000,100,200,Brazil,gamma,984,8752.0,52.0,8700.0,35.106644,0.016,2.05,0.032799999999999996
58,10000,100,200,United Kingdom,beta,426,8511.0,101.0,8410.0,41.43422,0.016,1.0,0.016
59,10000,100,200,India,gamma,796,8016.0,25.0,7991.0,30.945478,0.016,2.05,0.032799999999999996
