,Unnamed: 0,Unnamed: 0.1,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage_gradient,max_voltage,dome_voltage,APD90,rest_voltage,APD50,APDr_slope,min_di
0,0,0,0.7904,0.0418,0.4229,0.4094,0.1713,0.7285,452.7492,50.3571,4.2551,291.3626,-83.9502,260.5773,1.7565,5.4296
1,1,1,0.192,0.5451,0.4452,0.3482,0.3508,0.1149,374.5173,43.2896,15.774,402.1082,-84.6898,357.4534,1.2467,5.5702
2,2,2,0.1215,0.9418,0.9214,0.9766,0.4037,0.4245,364.2316,41.0208,16.1738,374.7529,-85.0699,337.2161,1.3231,7.7394
3,3,3,0.7963,0.292,0.3471,0.7181,0.8324,0.506,454.8471,49.1527,7.8388,340.5628,-84.7745,310.2288,1.3621,4.5641
4,4,4,0.6331,0.7755,0.1023,0.4257,0.8178,0.5164,433.316,48.583,13.0045,445.3492,-84.1421,397.8044,1.1291,5.4413
5,5,5,0.0337,0.5921,0.2065,0.1185,0.4183,0.8661,347.627,42.4714,9.5087,389.1394,-82.8193,339.0936,0.9466,4.6369
6,6,6,0.9348,0.7683,0.665,0.7393,0.3358,0.6819,471.1707,50.6137,12.7835,363.8939,-84.459,326.4375,1.1969,6.49
7,7,7,0.5126,0.7702,0.8161,0.6616,0.9251,0.8059,417.3048,46.8788,9.6453,349.8324,-84.1605,313.6825,1.3808,6.8766
8,8,8,0.5468,0.0378,0.9404,0.104,0.7019,0.5298,421.0976,48.6739,3.9367,282.3667,-83.5547,248.5335,1.9809,5.5879
9,9,9,0.5986,0.267,0.195,0.1407,0.6941,0.948,425.9315,49.514,4.3677,333.0171,-82.8261,294.2255,1.21,5.871
10,10,10,0.7624,0.6364,0.7259,0.9662,0.9494,0.0438,452.0023,47.8426,14.3106,379.1847,-85.5834,346.1938,1.3395,4.8558
11,11,11,0.8388,0.4816,0.5562,0.5229,0.4821,0.5376,459.4537,50.2236,10.518,351.1617,-84.3682,314.5101,1.3222,5.472
12,12,12,0.3535,0.9789,0.36,0.035,0.7734,0.2706,395.4453,46.5599,16.6725,476.062,-83.5434,411.199,1.0176,6.8136
13,13,13,0.0967,0.7396,0.4589,0.0793,0.4137,0.4536,358.5643,43.1434,14.2768,413.2515,-83.4248,358.9258,1.016,5.2565
14,14,14,0.7255,0.5686,0.4354,0.1586,0.8572,0.692,443.3505,50.3865,9.1,373.6063,-83.2687,329.2686,0.9571,6.2231
15,15,15,0.3007,0.2807,0.6218,0.8856,0.3641,0.1899,390.6644,43.4479,11.6773,336.3656,-85.3948,306.0302,1.532,5.7974
16,16,16,0.819,0.2272,0.7145,0.477,0.6966,0.6042,456.803,50.1627,6.1503,305.6179,-84.2382,274.2321,1.4188,6.4735
17,17,17,0.333,0.8827,0.2637,0.5834,0.9797,0.3208,394.1771,44.5426,14.7219,451.7105,-84.6797,405.9886,1.1449,5.2175
18,18,18,0.8006,0.4228,0.0812,0.5186,0.5048,0.884,453.652,50.2295,7.5071,359.0709,-83.8612,322.0287,1.1402,5.2981
19,19,19,0.1787,0.7811,0.796,0.0978,0.3986,0.1059,371.9462,43.8717,17.6398,404.2787,-84.107,351.0588,1.1477,6.8863
