,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
0,1,1,1,5,6,5.0,6.0
1,1,1,2,3,1,3.0,1.0
2,1,1,4,6,7,6.0,7.0
3,1,1,8,29,56,29.0,56.0
4,1,1,16,68,445,68.0,445.0
0,1,1,1,1,0,1.0,0.0
1,1,1,2,4,2,4.0,2.0
2,1,1,4,9,10,9.0,10.0
3,1,1,8,37,159,37.0,159.0
4,1,1,16,81,499,81.0,499.0
0,1,1,1,6,1,6.0,1.0
1,1,1,2,9,4,9.0,4.0
2,1,1,4,19,58,19.0,58.0
3,1,1,8,39,147,39.0,147.0
4,1,1,16,68,349,68.0,349.0
0,1,1,1,1,0,1.0,0.0
1,1,1,2,10,10,10.0,10.0
2,1,1,4,14,24,14.0,24.0
3,1,1,8,32,156,32.0,156.0
4,1,1,16,61,355,61.0,355.0
0,1,1,1,4,5,4.0,5.0
1,1,1,2,10,14,10.0,14.0
2,1,1,4,22,50,22.0,50.0
3,1,1,8,34,89,34.0,89.0
4,1,1,16,50,307,50.0,307.0
0,1,1,1,5,2,5.0,2.0
1,1,1,2,5,6,5.0,6.0
2,1,1,4,16,16,16.0,16.0
3,1,1,8,36,131,36.0,131.0
4,1,1,16,61,278,61.0,278.0
0,1,1,1,3,2,3.0,2.0
1,1,1,2,11,12,11.0,12.0
2,1,1,4,25,80,25.0,80.0
3,1,1,8,33,113,33.0,113.0
4,1,1,16,74,510,74.0,510.0
0,1,1,1,7,3,7.0,3.0
1,1,1,2,6,12,6.0,12.0
2,1,1,4,20,29,20.0,29.0
3,1,1,8,32,102,32.0,102.0
4,1,1,16,70,439,70.0,439.0
0,1,1,1,1,0,1.0,0.0
1,1,1,2,5,6,5.0,6.0
2,1,1,4,15,24,15.0,24.0
3,1,1,8,27,48,27.0,48.0
4,1,1,16,70,487,70.0,487.0
0,1,1,1,3,4,3.0,4.0
1,1,1,2,6,4,6.0,4.0
2,1,1,4,19,27,19.0,27.0
3,1,1,8,31,91,31.0,91.0
4,1,1,16,77,738,77.0,738.0
0,1,1,1,6,15,6.0,15.0
1,1,1,2,10,11,10.0,11.0
2,1,1,4,21,37,21.0,37.0
3,1,1,8,38,219,38.0,219.0
4,1,1,16,67,502,67.0,502.0
0,1,1,1,3,2,3.0,2.0
1,1,1,2,5,14,5.0,14.0
2,1,1,4,16,33,16.0,33.0
3,1,1,8,26,48,26.0,48.0
4,1,1,16,58,331,58.0,331.0
0,1,1,1,3,4,3.0,4.0
1,1,1,2,12,16,12.0,16.0
2,1,1,4,12,23,12.0,23.0
3,1,1,8,22,51,22.0,51.0
4,1,1,16,66,390,66.0,390.0
0,1,1,1,3,1,3.0,1.0
1,1,1,2,13,20,13.0,20.0
2,1,1,4,17,38,17.0,38.0
3,1,1,8,32,132,32.0,132.0
4,1,1,16,65,332,65.0,332.0
0,1,1,1,3,3,3.0,3.0
1,1,1,2,11,13,11.0,13.0
2,1,1,4,15,35,15.0,35.0
3,1,1,8,14,22,14.0,22.0
4,1,1,16,69,461,69.0,461.0
0,1,1,1,5,3,5.0,3.0
1,1,1,2,9,17,9.0,17.0
2,1,1,4,20,50,20.0,50.0
3,1,1,8,37,136,37.0,136.0
4,1,1,16,84,658,84.0,658.0
0,1,1,1,3,5,3.0,5.0
1,1,1,2,6,6,6.0,6.0
2,1,1,4,19,27,19.0,27.0
3,1,1,8,39,130,39.0,130.0
4,1,1,16,76,805,76.0,805.0
0,1,1,1,4,3,4.0,3.0
1,1,1,2,11,14,11.0,14.0
2,1,1,4,12,18,12.0,18.0
3,1,1,8,27,77,27.0,77.0
4,1,1,16,53,302,53.0,302.0
0,1,1,1,3,3,3.0,3.0
1,1,1,2,11,18,11.0,18.0
2,1,1,4,15,45,15.0,45.0
3,1,1,8,30,81,30.0,81.0
4,1,1,16,62,395,62.0,395.0
0,1,1,1,4,4,4.0,4.0
1,1,1,2,8,8,8.0,8.0
2,1,1,4,19,70,19.0,70.0
3,1,1,8,32,116,32.0,116.0
4,1,1,16,60,205,60.0,205.0
0,1,1,1,8,12,8.0,12.0
1,1,1,2,8,12,8.0,12.0
2,1,1,4,9,11,9.0,11.0
3,1,1,8,41,173,41.0,173.0
4,1,1,16,71,579,71.0,579.0
0,1,1,1,5,3,5.0,3.0
1,1,1,2,5,2,5.0,2.0
2,1,1,4,21,55,21.0,55.0
3,1,1,8,30,71,30.0,71.0
4,1,1,16,49,229,49.0,229.0
0,1,1,1,5,3,5.0,3.0
1,1,1,2,11,26,11.0,26.0
2,1,1,4,18,51,18.0,51.0
3,1,1,8,37,113,37.0,113.0
4,1,1,16,77,709,77.0,709.0
0,1,1,1,4,4,4.0,4.0
1,1,1,2,7,8,7.0,8.0
2,1,1,4,22,102,22.0,102.0
3,1,1,8,28,91,28.0,91.0
4,1,1,16,60,315,60.0,315.0
0,1,1,1,3,2,3.0,2.0
1,1,1,2,7,13,7.0,13.0
2,1,1,4,13,25,13.0,25.0
3,1,1,8,34,182,34.0,182.0
4,1,1,16,64,330,64.0,330.0
0,1,1,1,6,10,6.0,10.0
1,1,1,2,7,10,7.0,10.0
2,1,1,4,17,25,17.0,25.0
3,1,1,8,34,144,34.0,144.0
4,1,1,16,70,544,70.0,544.0
0,1,1,1,5,7,5.0,7.0
1,1,1,2,9,13,9.0,13.0
2,1,1,4,18,33,18.0,33.0
3,1,1,8,30,90,30.0,90.0
4,1,1,16,88,860,88.0,860.0
0,1,1,1,4,7,4.0,7.0
1,1,1,2,11,13,11.0,13.0
2,1,1,4,15,39,15.0,39.0
3,1,1,8,33,113,33.0,113.0
4,1,1,16,81,1053,81.0,1053.0
0,1,1,1,3,3,3.0,3.0
1,1,1,2,10,14,10.0,14.0
2,1,1,4,15,43,15.0,43.0
3,1,1,8,34,141,34.0,141.0
4,1,1,16,63,566,63.0,566.0
0,1,1,1,3,6,3.0,6.0
1,1,1,2,5,3,5.0,3.0
2,1,1,4,23,41,23.0,41.0
3,1,1,8,31,105,31.0,105.0
4,1,1,16,72,326,72.0,326.0
0,1,1,1,6,8,6.0,8.0
1,1,1,2,13,13,13.0,13.0
2,1,1,4,17,31,17.0,31.0
3,1,1,8,27,81,27.0,81.0
4,1,1,16,52,224,52.0,224.0
0,1,1,1,2,3,2.0,3.0
1,1,1,2,5,7,5.0,7.0
2,1,1,4,16,32,16.0,32.0
3,1,1,8,35,115,35.0,115.0
4,1,1,16,71,390,71.0,390.0
0,1,1,1,5,4,5.0,4.0
1,1,1,2,10,6,10.0,6.0
2,1,1,4,11,14,11.0,14.0
3,1,1,8,32,126,32.0,126.0
4,1,1,16,59,391,59.0,391.0
0,1,1,1,4,5,4.0,5.0
1,1,1,2,7,9,7.0,9.0
2,1,1,4,10,25,10.0,25.0
3,1,1,8,40,147,40.0,147.0
4,1,1,16,67,490,67.0,490.0
0,1,1,1,3,6,3.0,6.0
1,1,1,2,7,5,7.0,5.0
2,1,1,4,21,64,21.0,64.0
3,1,1,8,32,156,32.0,156.0
4,1,1,16,59,268,59.0,268.0
0,1,1,1,4,2,4.0,2.0
1,1,1,2,8,16,8.0,16.0
2,1,1,4,13,38,13.0,38.0
3,1,1,8,29,93,29.0,93.0
4,1,1,16,43,203,43.0,203.0
0,1,1,1,5,2,5.0,2.0
1,1,1,2,12,20,12.0,20.0
2,1,1,4,15,19,15.0,19.0
3,1,1,8,33,62,33.0,62.0
4,1,1,16,70,398,70.0,398.0
0,1,1,1,3,1,3.0,1.0
1,1,1,2,8,5,8.0,5.0
2,1,1,4,20,30,20.0,30.0
3,1,1,8,40,137,40.0,137.0
4,1,1,16,56,446,56.0,446.0
0,1,1,1,1,0,1.0,0.0
1,1,1,2,10,15,10.0,15.0
2,1,1,4,11,6,11.0,6.0
3,1,1,8,25,66,25.0,66.0
4,1,1,16,65,465,65.0,465.0
0,1,1,1,3,2,3.0,2.0
1,1,1,2,7,14,7.0,14.0
2,1,1,4,21,41,21.0,41.0
3,1,1,8,28,65,28.0,65.0
4,1,1,16,64,336,64.0,336.0
0,1,1,1,4,2,4.0,2.0
1,1,1,2,11,30,11.0,30.0
2,1,1,4,19,78,19.0,78.0
3,1,1,8,35,125,35.0,125.0
4,1,1,16,49,266,49.0,266.0
0,1,1,1,6,3,6.0,3.0
1,1,1,2,12,15,12.0,15.0
2,1,1,4,14,27,14.0,27.0
3,1,1,8,46,171,46.0,171.0
4,1,1,16,61,399,61.0,399.0
0,1,1,1,6,3,6.0,3.0
1,1,1,2,5,5,5.0,5.0
2,1,1,4,16,23,16.0,23.0
3,1,1,8,31,39,31.0,39.0
4,1,1,16,66,621,66.0,621.0
0,1,1,1,9,8,9.0,8.0
1,1,1,2,12,27,12.0,27.0
2,1,1,4,12,14,12.0,14.0
3,1,1,8,37,126,37.0,126.0
4,1,1,16,67,465,67.0,465.0
0,1,1,1,3,2,3.0,2.0
1,1,1,2,13,24,13.0,24.0
2,1,1,4,12,18,12.0,18.0
3,1,1,8,43,216,43.0,216.0
4,1,1,16,54,235,54.0,235.0
0,1,1,1,7,4,7.0,4.0
1,1,1,2,6,5,6.0,5.0
2,1,1,4,17,36,17.0,36.0
3,1,1,8,30,52,30.0,52.0
4,1,1,16,65,457,65.0,457.0
0,1,1,1,4,6,4.0,6.0
1,1,1,2,8,13,8.0,13.0
2,1,1,4,21,60,21.0,60.0
3,1,1,8,38,190,38.0,190.0
4,1,1,16,59,368,59.0,368.0
0,1,1,1,3,7,3.0,7.0
1,1,1,2,8,11,8.0,11.0
2,1,1,4,12,11,12.0,11.0
3,1,1,8,40,158,40.0,158.0
4,1,1,16,53,307,53.0,307.0
0,1,1,1,1,0,1.0,0.0
1,1,1,2,11,17,11.0,17.0
2,1,1,4,13,23,13.0,23.0
3,1,1,8,37,123,37.0,123.0
4,1,1,16,84,561,84.0,561.0
0,1,1,1,0,0,0.0,0.0
1,1,1,2,7,18,7.0,18.0
2,1,1,4,19,39,19.0,39.0
3,1,1,8,30,112,30.0,112.0
4,1,1,16,68,567,68.0,567.0
0,1,1,1,6,4,6.0,4.0
