,width,height,control,treatment,smt_risk_ratio,obs_risk_ratio
0,1,1,1,2,2.588785046728972,2.8279584525300003
1,1,1,2,4,3.4461062403300664,3.1711041253654577
2,1,1,4,8,3.617779108051482,3.477219389925258
3,1,1,8,16,3.6186812277653675,3.699311115318508
4,2,2,1,2,3.035917652212002,2.8279584525300003
5,2,2,2,4,3.54104746789785,3.1711041253654577
6,2,2,4,8,3.600252617854378,3.477219389925258
7,2,2,8,16,3.7263838118626995,3.699311115318508
8,3,3,1,2,3.502541942043722,2.8279584525300003
9,3,3,2,4,3.5944553305755127,3.1711041253654577
10,3,3,4,8,4.019120497496367,3.477219389925258
11,3,3,8,16,3.654514490678642,3.699311115318508
12,4,4,1,2,3.1137676292813965,2.8279584525300003
13,4,4,2,4,3.5285135018548877,3.1711041253654577
14,4,4,4,8,4.156177412650676,3.477219389925258
15,4,4,8,16,3.729035465206917,3.699311115318508
16,5,5,1,2,3.66858552631579,2.8279584525300003
17,5,5,2,4,3.768577673167451,3.1711041253654577
18,5,5,4,8,3.940844504918471,3.477219389925258
19,5,5,8,16,3.8751226378071624,3.699311115318508
20,6,6,1,2,3.693321680868109,2.8279584525300003
21,6,6,2,4,3.698775461913118,3.1711041253654577
22,6,6,4,8,3.9219249797415454,3.477219389925258
23,6,6,8,16,3.9706956619846956,3.699311115318508
24,7,7,1,2,3.712698412698412,2.8279584525300003
25,7,7,2,4,3.6271483539974354,3.1711041253654577
26,7,7,4,8,3.9861973856363226,3.477219389925258
27,7,7,8,16,3.937031506423999,3.699311115318508
28,8,8,1,2,3.4956584370373336,2.8279584525300003
29,8,8,2,4,3.830002289377289,3.1711041253654577
30,8,8,4,8,3.886060211184468,3.477219389925258
31,8,8,8,16,4.011038790739813,3.699311115318508
32,9,9,1,2,3.563344248874334,2.8279584525300003
33,9,9,2,4,4.00093813120435,3.1711041253654577
34,9,9,4,8,3.934243330541931,3.477219389925258
35,9,9,8,16,3.9338491300643366,3.699311115318508
36,10,10,1,2,3.8274726834113806,2.8279584525300003
37,10,10,2,4,3.752515553050919,3.1711041253654577
38,10,10,4,8,4.012820411486204,3.477219389925258
39,10,10,8,16,4.018089779195966,3.699311115318508
