,control,treatment,intensity,ate,ci_low,ci_high
0,1,2,0,-7.378642492215885,-16.05805863522675,1.3007736507949783
1,2,3,0,-2.7096586545196,-12.873331738256546,7.454014429217346
2,3,4,0,-1.5424126950955266,-14.72145204712045,11.6366266569294
3,4,5,0,-1.0755143113258985,-17.578716168065007,15.42768754541321
4,5,6,0,-0.8420651194410849,-20.770151444809144,19.086021205926976
5,6,7,0,-0.7086655812211902,-24.105926511450654,22.688595349008274
6,7,8,0,-0.6252908698337563,-27.51508980036924,26.264508060701722
7,8,9,0,-0.5697077289088008,-30.965916499025454,29.826501041207848
8,9,10,0,-0.5307995302613315,-34.44235723135286,33.38075817083019
9,1,2,1,-7.378642492215885,-13.918238652043593,-0.8390463323881754
10,2,3,1,-2.7096586545196004,-9.802882858188203,4.383565549149003
11,3,4,1,-1.5424126950955266,-11.120887611821622,8.03606222163057
12,4,5,1,-1.0755143113258985,-13.708422107725228,11.55739348507343
13,5,6,1,-0.8420651194410844,-16.74129371640377,15.057163477521602
14,6,7,1,-0.7086655812211902,-19.972927322591467,18.555596160149086
15,7,8,1,-0.6252908698337558,-23.3084183840392,22.05783664437169
16,8,9,1,-0.5697077289088011,-26.70434658441149,25.56493112659389
17,9,10,1,-0.5307995302613318,-30.138282420998863,29.076683360476196
18,1,2,2,-7.378642492215885,-16.38113570509901,1.6238507206672423
19,2,3,2,-2.709658654519597,-11.125018484727406,5.705701175688212
20,3,4,2,-1.5424126950955284,-10.885940125445654,7.801114735254597
21,4,5,2,-1.0755143113259003,-12.372903285131162,10.221874662479362
22,5,6,2,-0.8420651194410844,-14.717521484023713,13.033391245141544
23,6,7,2,-0.7086655812211902,-17.509736580328116,16.092405417885736
24,7,8,2,-0.6252908698337549,-20.549295407558162,19.29871366789065
25,8,9,2,-0.5697077289088028,-23.735302054174575,22.59588659635697
26,9,10,2,-0.53079953026133,-27.01370867477234,25.95210961424968
27,1,2,3,-7.378642492215889,-20.043311732745266,5.286026748313489
28,2,3,3,-2.7096586545196004,-14.257652928983724,8.838335619944523
29,3,4,3,-1.5424126950955213,-12.86962491637475,9.784799526183704
30,4,5,3,-1.0755143113259038,-13.130648317524077,10.979619694872273
31,5,6,3,-0.8420651194410809,-14.473331702582268,12.789201463700103
32,6,7,3,-0.7086655812211902,-16.53982963725459,15.122498474812215
33,7,8,3,-0.625290869833762,-19.069141710952145,17.81855997128462
34,8,9,3,-0.5697077289087957,-21.89167541250101,20.752259954683417
35,9,10,3,-0.5307995302613335,-24.903950327600462,23.842351267077795
36,1,2,4,-7.378642492215889,-23.37399716349333,8.616712179061551
37,2,3,4,-2.7096586545196004,-17.34578972483895,11.92647241579975
38,3,4,4,-1.5424126950955213,-15.337988269660414,12.253162879469372
39,4,5,4,-1.0755143113259038,-14.765501080503121,12.614472457851306
40,5,6,4,-0.8420651194410809,-15.241135322080375,13.557005083198213
41,6,7,4,-0.7086655812211902,-16.55358588394165,15.136254721499277
42,7,8,4,-0.625290869833762,-18.491752099772377,17.241170360104846
43,8,9,4,-0.5697077289087957,-20.87015891353952,19.730743455721928
44,9,10,4,-0.5307995302613335,-23.550598680286157,22.488999619763497
45,1,2,5,-7.378642492215889,-26.03512013679405,11.277835152362272
46,2,3,5,-2.7096586545196004,-19.863479936076885,14.444162627037684
47,3,4,5,-1.5424126950955355,-17.49695503693016,14.41212964673909
48,4,5,5,-1.0755143113258896,-16.403114838981367,14.252086216329587
49,5,6,5,-0.842065119441088,-16.2618523148069,14.577722075924726
50,6,7,5,-0.7086655812211973,-16.96002852563103,15.542697363188637
51,7,8,5,-0.6252908698337478,-18.362111153622664,17.111529413955168
52,8,9,5,-0.5697077289088099,-20.309364253540707,19.169948795723087
53,9,10,5,-0.5307995302613193,-22.655986177258285,21.594387116735646
54,1,2,6,-7.378642492215874,-27.948775665159417,13.191490680727668
55,2,3,6,-2.7096586545196146,-21.671785689375753,16.252468380336524
56,3,4,6,-1.5424126950955355,-19.070061978940387,15.985236588749302
57,4,5,6,-1.0755143113258896,-17.635327009715894,15.484298387064129
58,5,6,6,-0.842065119441088,-17.072003889461286,15.38787365057911
59,6,7,6,-0.7086655812211973,-17.319524326107995,15.9021931636656
60,7,8,6,-0.6252908698337336,-18.300276563558967,17.049694823891514
61,8,9,6,-0.5697077289088099,-19.89101678248352,18.751601324665884
62,9,10,6,-0.5307995302613335,-21.953616473882505,20.892017413359838
63,1,2,7,-7.378642492215874,-29.11726513827736,14.359980153845612
64,2,3,7,-2.709658654519586,-22.750759334589674,17.3314420255505
65,3,4,7,-1.5424126950955213,-19.97785954523809,16.893034155047047
66,4,5,7,-1.075514311325918,-18.30608567018305,16.155057047531216
67,5,6,7,-0.842065119441088,-17.452181764775304,15.768051525893128
68,6,7,7,-0.7086655812211688,-17.385478541472708,15.96814737903037
69,7,8,7,-0.6252908698337762,-18.066675373156556,16.816093633489004
70,8,9,7,-0.5697077289087815,-19.400709487950223,18.26129403013266
71,9,10,7,-0.5307995302613335,-21.258871069217292,20.197272008694625
72,1,2,8,-7.378642492215903,-29.589225422873483,14.831940438441677
73,2,3,8,-2.709658654519586,-23.140754325536193,17.72143701649702
74,3,4,8,-1.5424126950955213,-20.235252891690607,17.150427501499564
75,4,5,8,-1.075514311325918,-18.39286072049805,16.241832097846213
76,5,6,8,-0.842065119441088,-17.341020322637092,15.656890083754917
