,control,treatment,intensity,ate,ci_low,ci_high
0,1.0,2.0,1,-7.378642492215972,-13.91823865204362,-0.8390463323883246
1,2.0,3.0,1,-2.7096586545197052,-9.80288285818825,4.383565549148839
2,3.0,4.0,1,-1.5424126950956385,-11.120887611821669,8.03606222163039
3,4.0,5.0,1,-1.0755143113260122,-13.708422107725262,11.557393485073238
4,5.0,6.0,1,-0.842065119441199,-16.741293716403792,15.057163477521392
5,6.0,7.0,1,-0.7086655812213047,-19.97292732259147,18.555596160148863
6,7.0,8.0,1,-0.6252908698338722,-23.308418384039193,22.057836644371445
7,8.0,9.0,1,-0.5697077289089161,-26.70434658441146,25.564931126593628
8,9.0,10.0,1,-0.5307995302614472,-30.138282420998813,29.076683360475922
9,1.0,2.0,2,-7.378642492215974,-16.38113570509907,1.6238507206671215
10,2.0,3.0,2,-2.709658654519707,-11.12501848472749,5.705701175688077
11,3.0,4.0,2,-1.542412695095635,-10.885940125445726,7.801114735254458
12,4.0,5.0,2,-1.075514311326014,-12.37290328513123,10.2218746624792
13,5.0,6.0,2,-0.8420651194411981,-14.717521484023761,13.033391245141367
14,6.0,7.0,2,-0.7086655812213039,-17.50973658032815,16.092405417885537
15,7.0,8.0,2,-0.6252908698338722,-20.549295407558176,19.29871366789043
16,8.0,9.0,2,-0.5697077289089165,-23.735302054174575,22.595886596356742
17,9.0,10.0,2,-0.5307995302614472,-27.013708674772325,25.95210961424943
18,1.0,2.0,3,-7.378642492215974,-20.043311732745323,5.286026748313375
19,2.0,3.0,3,-2.709658654519707,-14.257652928983816,8.838335619944402
20,3.0,4.0,3,-1.542412695095635,-12.869624916374846,9.784799526183576
21,4.0,5.0,3,-1.0755143113260104,-13.130648317524162,10.979619694872142
22,5.0,6.0,3,-0.8420651194412017,-14.473331702582346,12.789201463699946
23,6.0,7.0,3,-0.7086655812213039,-16.53982963725465,15.122498474812037
24,7.0,8.0,3,-0.6252908698338757,-19.069141710952177,17.81855997128443
25,8.0,9.0,3,-0.5697077289089165,-21.891675412501034,20.752259954683193
26,9.0,10.0,3,-0.5307995302614472,-24.90395032760046,23.842351267077564
27,1.0,2.0,4,-7.378642492215974,-23.373997163493392,8.616712179061437
28,2.0,3.0,4,-2.709658654519707,-17.345789724839037,11.92647241579963
29,3.0,4.0,4,-1.542412695095635,-15.337988269660514,12.253162879469244
30,4.0,5.0,4,-1.0755143113260104,-14.765501080503213,12.614472457851193
31,5.0,6.0,4,-0.8420651194412017,-15.241135322080474,13.557005083198078
32,6.0,7.0,4,-0.7086655812213039,-16.55358588394173,15.136254721499121
33,7.0,8.0,4,-0.6252908698338757,-18.491752099772434,17.241170360104668
34,8.0,9.0,4,-0.5697077289089165,-20.870158913539562,19.730743455721743
35,9.0,10.0,4,-0.5307995302614472,-23.550598680286186,22.488999619763284
36,1.0,2.0,5,-7.378642492215974,-26.035120136794106,11.277835152362158
37,2.0,3.0,5,-2.709658654519714,-19.863479936076985,14.444162627037556
38,3.0,4.0,5,-1.542412695095635,-17.49695503693026,14.41212964673899
39,4.0,5.0,5,-1.0755143113260175,-16.40311483898148,14.252086216329445
40,5.0,6.0,5,-0.8420651194411874,-16.261852314806973,14.577722075924598
41,6.0,7.0,5,-0.708665581221311,-16.960028525631117,15.542697363188495
42,7.0,8.0,5,-0.6252908698338757,-18.36211115362275,17.111529413954997
43,8.0,9.0,5,-0.5697077289089094,-20.30936425354075,19.16994879572293
44,9.0,10.0,5,-0.5307995302614472,-22.65598617725834,21.594387116735447
45,1.0,2.0,6,-7.378642492215988,-27.948775665159488,13.191490680727526
46,2.0,3.0,6,-2.7096586545197,-21.671785689375824,16.252468380336424
47,3.0,4.0,6,-1.542412695095635,-19.070061978940473,15.985236588749174
48,4.0,5.0,6,-1.0755143113260175,-17.635327009716008,15.484298387063987
49,5.0,6.0,6,-0.8420651194411874,-17.07200388946137,15.387873650578996
50,6.0,7.0,6,-0.708665581221311,-17.31952432610808,15.902193163665459
51,7.0,8.0,6,-0.6252908698338757,-18.300276563559066,17.049694823891315
52,8.0,9.0,6,-0.5697077289089094,-19.891016782483533,18.751601324665728
53,9.0,10.0,6,-0.5307995302614472,-21.953616473882548,20.892017413359625
54,1.0,2.0,7,-7.378642492215988,-29.117265138277418,14.359980153845441
55,2.0,3.0,7,-2.7096586545197,-22.75075933458973,17.33144202555033
56,3.0,4.0,7,-1.542412695095635,-19.977859545238175,16.893034155046905
57,4.0,5.0,7,-1.0755143113260033,-18.30608567018311,16.155057047531102
58,5.0,6.0,7,-0.8420651194412017,-17.45218176477536,15.768051525892957
59,6.0,7.0,7,-0.708665581221311,-17.385478541472793,15.968147379030171
60,7.0,8.0,7,-0.6252908698338615,-18.066675373156556,16.816093633488833
61,8.0,9.0,7,-0.5697077289089236,-19.40070948795028,18.261294030132433
62,9.0,10.0,7,-0.5307995302614472,-21.25887106921732,20.197272008694426
63,1.0,2.0,8,-7.378642492215988,-29.589225422873483,14.831940438441507
64,2.0,3.0,8,-2.7096586545197,-23.14075432553625,17.72143701649685
65,3.0,4.0,8,-1.542412695095635,-20.235252891690664,17.150427501499394
66,4.0,5.0,8,-1.0755143113260033,-18.39286072049805,16.241832097846043
67,5.0,6.0,8,-0.8420651194412017,-17.341020322637092,15.65689008375469
68,6.0,7.0,8,-0.708665581221311,-17.06994694543087,15.65261578298825
69,7.0,8.0,8,-0.6252908698338615,-17.565333348018214,16.31475160835049
70,8.0,9.0,8,-0.5697077289089236,-18.749087451671272,17.609671993853425
71,9.0,10.0,8,-0.5307995302614472,-20.495979946318016,19.43438088579512
72,1.0,2.0,9,-7.378642492215988,-29.462760189589744,14.705475205157768
